Epoch [105/1000], Train Loss: 7.4490, Val Loss: 7.4720
Epoch [106/1000], Train Loss: 7.4398, Val Loss: 7.4643
Epoch [107/1000], Train Loss: 7.4314, Val Loss: 7.4566
Epoch [108/1000], Train Loss: 7.4228, Val Loss: 7.4489
Epoch [109/1000], Train Loss: 7.4149, Val Loss: 7.4414
Epoch [110/1000], Train Loss: 7.4073, Val Loss: 7.4339
Epoch [111/1000], Train Loss: 7.3985, Val Loss: 7.4265
Epoch [112/1000], Train Loss: 7.3906, Val Loss: 7.4191
Epoch [113/1000], Train Loss: 7.3822, Val Loss: 7.4118
Epoch [114/1000], Train Loss: 7.3756, Val Loss: 7.4046
Epoch [115/1000], Train Loss: 7.3666, Val Loss: 7.3974
Epoch [116/1000], Train Loss: 7.3595, Val Loss: 7.3903
Epoch [117/1000], Train Loss: 7.3513, Val Loss: 7.3833
Epoch [118/1000], Train Loss: 7.3440, Val Loss: 7.3763
Epoch [119/1000], Train Loss: 7.3368, Val Loss: 7.3694
Epoch [120/1000], Train Loss: 7.3288, Val Loss: 7.3625
Epoch [121/1000], Train Loss: 7.3220, Val Loss: 7.3557
Epoch [122/1000], Train Loss: 7.3146, Val Loss: 7.3490
Epoch [123/1000], Train Loss: 7.3067, Val Loss: 7.3423
Epoch [124/1000], Train Loss: 7.3003, Val Loss: 7.3357
Epoch [125/1000], Train Loss: 7.2929, Val Loss: 7.3291
Epoch [126/1000], Train Loss: 7.2858, Val Loss: 7.3226
Epoch [127/1000], Train Loss: 7.2782, Val Loss: 7.3161
Epoch [128/1000], Train Loss: 7.2719, Val Loss: 7.3097
Epoch [129/1000], Train Loss: 7.2647, Val Loss: 7.3033
Epoch [130/1000], Train Loss: 7.2574, Val Loss: 7.2970
Epoch [131/1000], Train Loss: 7.2499, Val Loss: 7.2907
Epoch [132/1000], Train Loss: 7.2437, Val Loss: 7.2845
Epoch [133/1000], Train Loss: 7.2365, Val Loss: 7.2783
Epoch [134/1000], Train Loss: 7.2309, Val Loss: 7.2722
Epoch [135/1000], Train Loss: 7.2236, Val Loss: 7.2662
Epoch [136/1000], Train Loss: 7.2170, Val Loss: 7.2601
Epoch [137/1000], Train Loss: 7.2107, Val Loss: 7.2541
Epoch [138/1000], Train Loss: 7.2040, Val Loss: 7.2482
Epoch [139/1000], Train Loss: 7.1966, Val Loss: 7.2423
Epoch [140/1000], Train Loss: 7.1909, Val Loss: 7.2364
